,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,1.3,0.08,0.08,-1.0,1.03125,0.0003041395647847034
0,1.6,0.08,0.08,-1.0,0.763061,0.00024554136861479374
0,101.0,0.08,0.08,-1.0,0.0662118,2.213980989035966e-05
0,13.0,0.08,0.08,-1.0,0.188798,8.134211615170972e-05
0,151.0,0.08,0.08,-1.0,0.0541247,1.668966769953727e-05
0,17.0,0.08,0.08,-1.0,0.163962,7.288359303544206e-05
0,2.0,0.08,0.08,-1.0,0.608759,0.00018919474380184667
0,26.0,0.08,0.08,-1.0,0.131608,5.991952809002788e-05
0,3.0,0.08,0.08,-1.0,0.444339,0.0001697517044121486
0,301.0,0.08,0.08,-1.0,0.0383352,9.842901424779172e-06
0,5.0,0.08,0.08,-1.0,0.321043,0.00013648606421239707
0,51.0,0.08,0.08,-1.0,0.0934005,3.6204972505920616e-05
0,7.0,0.08,0.08,-1.0,0.264395,0.00011366111522967389
0,76.0,0.08,0.08,-1.0,0.0763813,2.9720244789294073e-05
0,9.0,0.08,0.08,-1.0,0.230053,9.395323545392345e-05
0,1.3,0.08,0.1354,-1.0,1.03108,0.0003100275978691442
0,1.6,0.08,0.1354,-1.0,0.76299,0.0002497783234052372
0,101.0,0.08,0.1354,-1.0,0.066211,2.1196250150782092e-05
0,13.0,0.08,0.1354,-1.0,0.188797,7.679620119700188e-05
0,151.0,0.08,0.1354,-1.0,0.0541244,1.586956508868145e-05
0,17.0,0.08,0.1354,-1.0,0.163962,6.291370794160596e-05
0,2.0,0.08,0.1354,-1.0,0.608723,0.0002054383605106288
0,26.0,0.08,0.1354,-1.0,0.131608,6.130539087069219e-05
0,3.0,0.08,0.1354,-1.0,0.444325,0.00015788628953624937
0,301.0,0.08,0.1354,-1.0,0.0383348,9.556669460059025e-06
0,5.0,0.08,0.1354,-1.0,0.321037,0.000122094211864292
0,51.0,0.08,0.1354,-1.0,0.0933994,3.827468950383889e-05
0,7.0,0.08,0.1354,-1.0,0.264394,8.968231453032747e-05
0,76.0,0.08,0.1354,-1.0,0.0763808,2.6565555754922843e-05
0,9.0,0.08,0.1354,-1.0,0.230051,8.684154035008151e-05
0,1.3,0.08,0.2,-1.0,1.03088,0.0002711676105294294
0,1.6,0.08,0.2,-1.0,0.762903,0.00025169159586080277
0,101.0,0.08,0.2,-1.0,0.0662109,1.988065740882502e-05
0,13.0,0.08,0.2,-1.0,0.188796,8.351767912385683e-05
0,151.0,0.08,0.2,-1.0,0.0541244,1.6735502747654947e-05
0,17.0,0.08,0.2,-1.0,0.16396,7.110429573310106e-05
0,2.0,0.08,0.2,-1.0,0.608681,0.00018905549820182077
0,26.0,0.08,0.2,-1.0,0.131607,5.0686700069587494e-05
0,3.0,0.08,0.2,-1.0,0.444309,0.00015291799356111668
0,301.0,0.08,0.2,-1.0,0.0383348,1.1102235585561767e-05
