Retardation Front_Voltage Back_Voltage Max_Val OK
5 0.00 0.00 2.503865e-07 1
5 0.00 0.12 2.503865e-07 1
5 0.00 0.24 2.503865e-07 1
5 0.00 0.36 2.503865e-07 1
5 0.00 0.48 2.503865e-07 1
5 0.12 0.00 0.0 1
5 0.12 0.12 6.308085e-23 1
5 0.12 0.24 1.261617e-22 1
5 0.12 0.36 0.0 1
5 0.12 0.48 2.523234e-22 1
5 0.24 0.00 0.0 1
5 0.24 0.12 6.308085e-23 1
5 0.24 0.24 1.261617e-22 1
5 0.24 0.36 0.0 1
5 0.24 0.48 2.523234e-22 1
5 0.36 0.00 0.0 1
5 0.36 0.12 6.308085e-23 1
5 0.36 0.24 1.261617e-22 1
5 0.36 0.36 0.0 1
5 0.36 0.48 2.523234e-22 1
5 0.48 0.00 0.0 1
5 0.48 0.12 6.308085e-23 1
5 0.48 0.24 1.261617e-22 1
5 0.48 0.36 0.0 1
5 0.48 0.48 2.523234e-22 1
10 0.00 0.00 5.00773e-07 1
10 0.00 0.25 5.00773e-07 1
10 0.00 0.50 5.00773e-07 1
10 0.00 0.75 5.00773e-07 1
10 0.00 1.00 5.00773e-07 1
10 0.25 0.00 0.0 1
10 0.25 0.25 0.0 1
10 0.25 0.50 0.0 1
10 0.25 0.75 0.0 1
10 0.25 1.00 0.0 1
10 0.50 0.00 0.0 1
10 0.50 0.25 0.0 1
10 0.50 0.50 0.0 1
10 0.50 0.75 0.0 1
10 0.50 1.00 0.0 1
10 0.75 0.00 0.0 1
10 0.75 0.25 0.0 1
10 0.75 0.50 0.0 1
10 0.75 0.75 0.0 1
10 0.75 1.00 0.0 1
10 1.00 0.00 0.0 1
10 1.00 0.25 0.0 1
10 1.00 0.50 0.0 1
10 1.00 0.75 0.0 1
10 1.00 1.00 0.0 1
50 0.00 0.00 2.503865e-06 1
50 0.00 1.25 2.503865e-06 1
50 0.00 2.50 2.503865e-06 1
50 0.00 3.75 2.503865e-06 1
50 0.00 5.00 2.503865e-06 1
50 1.25 0.00 0.0 1
50 1.25 1.25 0.0 1
50 1.25 2.50 0.0 1
50 1.25 3.75 0.0 1
50 1.25 5.00 0.0 1
50 2.50 0.00 0.0 1
50 2.50 1.25 0.0 1
50 2.50 2.50 0.0 1
50 2.50 3.75 0.0 1
50 2.50 5.00 0.0 1
50 3.75 0.00 0.0 1
50 3.75 1.25 0.0 1
50 3.75 2.50 0.0 1
50 3.75 3.75 0.0 1
50 3.75 5.00 0.0 1
50 5.00 0.00 0.0 1
50 5.00 1.25 0.0 1
50 5.00 2.50 0.0 1
50 5.00 3.75 0.0 1
50 5.00 5.00 0.0 1
100 0.00 0.00 5.00773e-06 1
100 0.00 2.50 5.00773e-06 1
100 0.00 5.00 5.00773e-06 1
100 0.00 7.50 5.00773e-06 1
100 0.00 10.00 5.00773e-06 1
100 2.50 0.00 0.0 1
100 2.50 2.50 0.0 1
100 2.50 5.00 0.0 1
100 2.50 7.50 0.0 1
100 2.50 10.00 0.0 1
100 5.00 0.00 0.0 1
100 5.00 2.50 0.0 1
100 5.00 5.00 0.0 1
100 5.00 7.50 0.0 1
100 5.00 10.00 0.0 1
100 7.50 0.00 0.0 1
100 7.50 2.50 0.0 1
100 7.50 5.00 0.0 1
100 7.50 7.50 0.0 1
100 7.50 10.00 0.0 1
100 10.00 0.00 0.0 1
100 10.00 2.50 0.0 1
100 10.00 5.00 0.0 1
100 10.00 7.50 0.0 1
100 10.00 10.00 0.0 1
